Train no,Train Name,arrival,Station Code,Zone,duration_m,Station Name,departure,return_train,Destination Station,Destination Station Name,Distance
4601,Jammu Tawi Udhampur Special,12:15:00,JAT,NR,35,JAMMU TAWI,10:40:00,4602,UHP,UDHAMPUR,53
4602,UDHAMPUR JAMMUTAWI DMU,08:35:00,UHP,NR,50,UDHAMPUR,06:45:00,4601,JAT,JAMMU TAWI,53
4603,JAT UDAHMPUR DMU,17:50:00,JAT,NR,35,JAMMU TAWI,16:15:00,4604,UHP,UDHAMPUR,53
4604,UDHAMPUR JAMMUTAWI DMU,19:50:00,UHP,NR,30,UDHAMPUR,18:20:00,4603,JAT,JAMMU TAWI,53
4728,Mumbai BandraT-Bikaner SF Special,12:30:00,BDTS,NWR,55,MUMBAI BANDRA TERMINUS,14:35:00,4727,BKN,BIKANER JN,1212
4741,Sirsa - Hisar Passenger Special,00:25:00,SSA,NR,35,Sirsa,22:50:00,4742,HSR,Hisar,82
4742,Hisar - Sirsa Passenger Special,06:10:00,HSR,NR,50,Hisar,04:20:00,4741,SSA,Sirsa,82
4853,Rewari Degana Merta Special,23:45:00,DNA,NWR,15,DEGANA JN,22:30:00,4854,MTD,MERTA ROAD JN,44
4854,Degana Merta Special,04:40:00,MTD,NWR,0,MERTA ROAD JN,03:40:00,4853,DNA,DEGANA JN,44
9022,JAMMU TAWI - BANDRA TERMINUS AC Suvidha Special (Starts 5 April),17:50:00,JAT,WR,20,JAMMU TAWI,09:30:00,9021,BDTS,MUMBAI BANDRA TERMINUS,1957
11017,Chalukya Express,21:55:00,DR,CR,25,MUMBAI DADAR CENTRAL,21:30:00,11018,YPR,YESVANTPUR JN,1205
11019,Konark Express,04:25:00,CSTM,CR,15,MUMBAI CST,15:10:00,11020,BBS,BHUBANESWAR,1932
11020,Konark Express,03:55:00,BBS,CR,35,BHUBANESWAR,15:20:00,11019,CSTM,MUMBAI CST,1932
11023,Sahyadri Express,06:05:00,CSTM,CR,15,MUMBAI CST,17:50:00,11024,KOP,C SHAHU M RAJ KOLHAPUR TERM,518
11024,Sahyadri Express,11:55:00,KOP,CR,5,C SHAHU M RAJ KOLHAPUR TERM,22:50:00,11023,CSTM,MUMBAI CST,518
11025,Manmad Pune Express(Via Nasik),12:05:00,MMR,CR,35,MANMAD JN,04:30:00,11026,PUNE,PUNE JN,364
11026,Pune Manmad Express,21:30:00,PUNE,CR,40,PUNE JN,12:50:00,11025,MMR,MANMAD JN,364
11027,Mumbai CST-Chennai Mail,04:55:00,CSTM,CR,10,MUMBAI CST,23:45:00,11028,MAS,CHENNAI CENTRAL,1283
11029,Koyna Express,20:25:00,CSTM,CR,45,MUMBAI CST,08:40:00,11030,KOP,C SHAHU M RAJ KOLHAPUR TERM,518
