Train No,Train Name,SEQ,Station Code,Station Name,Station Zone,Arrival time,Departure Time,Distance,Source Station,Source Station Name,Source Zone,Destination Station,Destination Station Name,Destination Zone
75229,DBG-RXL DEMU,15,ADX,ADAPUR,ECR,14:32:00,14:34:00,137,DBG,DARBHANGA JN.,ECR,RXL,RAXAUL JN.,ECR
75226,RXL-SPJ DEMU,2,ADX,ADAPUR,ECR,17:46:00,17:48:00,12,RXL,RAXAUL JN.,ECR,SPJ,SAMASTIPUR JN.,ECR
75228,RXL-DBG DEMU,2,ADX,ADAPUR,ECR,04:20:00,04:22:00,12,RXL,RAXAUL JN.,ECR,DBG,DARBHANGA JN.,ECR
75230,RXL-SPJ DEMU,2,ADX,ADAPUR,ECR,09:46:00,09:48:00,12,RXL,RAXAUL JN.,ECR,SPJ,SAMASTIPUR JN.,ECR
75233,RXL-SMI DEMU,2,ADX,ADAPUR,ECR,11:00:00,11:02:00,12,RXL,RAXAUL JN.,ECR,SMI,SITAMARHI,ECR
75234,SMI-RXL DEMU,8,ADX,ADAPUR,ECR,15:46:00,15:48:00,70,SMI,SITAMARHI,ECR,RXL,RAXAUL JN.,ECR
75225,SPJ-RXL DEMU,22,ADX,ADAPUR,ECR,09:08:00,09:10:00,175,SPJ,SAMASTIPUR JN.,ECR,RXL,RAXAUL JN.,ECR
75227,SPJ-RXL-DEMU,28,ADX,ADAPUR,ECR,22:46:00,22:48:00,175,SPJ,SAMASTIPUR JN.,ECR,RXL,RAXAUL JN.,ECR
53348,BRWD-GMO PAS,30,AMLO,AMLO,ECR,12:35:00,12:36:00,227,BRWD,BARWADIH JN,ECR,GMO,NSC BOSE J GOMO,ECR
53344,CPU-GMO PASS,53,AMLO,AMLO,ECR,18:24:00,18:26:00,429,CPU,CHOPAN,ECR,GMO,NSC BOSE J GOMO,ECR
53343,GMO-CPU PASS,6,AMLO,AMLO,ECR,06:29:00,06:30:00,31,GMO,NSC BOSE J GOMO,ECR,CPU,CHOPAN,ECR
53347,GMO-BRWD PAS,6,AMLO,AMLO,ECR,10:46:00,10:48:00,31,GMO,NSC BOSE J GOMO,ECR,BRWD,BARWADIH JN,ECR
