Train No,Train Name,SEQ,Station Code,Station Name,Station Zone,Arrival time,Departure Time,Distance,Source Station,Source Station Name,Source Zone,Destination Station,Destination Station Name,Destination Zone
18438,JNRD-BBS LIN,7,AMB,AMBODALA,NR,20:05:00,20:07:00,67,JNRD,JUNAGARH ROAD,ECoR,RGDA,RAYAGADA JN.,ECoR
58302,KRPU-SBP PAS,20,AMB,AMBODALA,NR,09:35:00,09:37:00,251,KRPU,KORAPUT JN.,ECoR,SBP,SAMBALPUR JN.,ECoR
18302,RGDA-SBP EXP,6,AMB,AMBODALA,NR,15:43:00,15:45:00,78,RGDA,RAYAGADA JN.,ECoR,SBP,SAMBALPUR JN.,ECoR
18437,BBS-JNRD LIN,5,AMB,AMBODALA,NR,06:45:00,06:47:00,78,RGDA,RAYAGADA JN.,ECoR,JNRD,JUNAGARH ROAD,ECoR
18301,SBP-RGDA EXP,15,AMB,AMBODALA,NR,10:53:00,10:55:00,242,SBP,SAMBALPUR JN.,ECoR,RGDA,RAYAGADA JN.,ECoR
58301,SBP-KRPU PAS,22,AMB,AMBODALA,NR,12:55:00,12:57:00,242,SBP,SAMBALPUR JN.,ECoR,KRPU,KORAPUT JN.,ECoR
58421,ANGL-PURI PA,1,ANGL,ANGUL,ECoR,05:15:00,05:15:00,0,ANGL,ANGUL,ECoR,PURI,PURI,ECoR
12893,BBS-BLGR S/F,7,ANGL,ANGUL,ECoR,09:04:00,09:06:00,121,BBS,BHUBANESWAR,ECoR,BLGR,BALANGIR,ECoR
12894,BLGR-BBS S/F,10,ANGL,ANGUL,ECoR,19:12:00,19:14:00,274,BLGR,BALANGIR,ECoR,BBS,BHUBANESWAR,ECoR
18304,PURI-SBP INT,9,ANGL,ANGUL,ECoR,19:28:00,19:30:00,183,PURI,PURI,ECoR,SBP,SAMBALPUR JN.,ECoR
58422,PURI-ANGL PA,30,ANGL,ANGUL,ECoR,21:40:00,21:40:00,196,PURI,PURI,ECoR,ANGL,ANGUL,ECoR
18303,SBP-PURI INT,8,ANGL,ANGUL,ECoR,08:35:00,08:40:00,156,SBP,SAMBALPUR JN.,ECoR,PURI,PURI,ECoR
58412,BAM-BBS PASS,23,ARGL,ARGUL,ECoR,17:23:00,17:24:00,141,BAM,BERHAMPUR,ECoR,BBS,BHUBANESWAR,ECoR
78504,BAM-BBS PASS,24,ARGL,ARGUL,ECoR,08:27:00,08:28:00,141,BAM,BERHAMPUR,ECoR,BBS,BHUBANESWAR,ECoR
58411,BBS-BAM PASS,5,ARGL,ARGUL,ECoR,10:36:00,10:37:00,24,BBS,BHUBANESWAR,ECoR,BAM,BERHAMPUR,ECoR
58419,BBS-PSA PASS,5,ARGL,ARGUL,ECoR,19:46:00,19:47:00,24,BBS,BHUBANESWAR,ECoR,PSA,PALASA,ECoR
78503,BBS-BAM PASS,5,ARGL,ARGUL,ECoR,18:01:00,18:02:00,24,BBS,BHUBANESWAR,ECoR,BAM,BERHAMPUR,ECoR
58533,CTC-PSA PASS,12,ARGL,ARGUL,ECoR,17:56:00,17:57:00,51,CTC,CUTTACK JN.,ECoR,PSA,PALASA,ECoR
58418,GNPR-PURI PA,48,ARGL,ARGUL,ECoR,15:10:00,15:11:00,330,GNPR,GUNUPUR,ECoR,PURI,PURI,ECoR
58420,PSA-BBS PASS,32,ARGL,ARGUL,ECoR,09:50:00,09:51:00,215,PSA,PALASA,ECoR,BBS,BHUBANESWAR,ECoR
58534,PSA-CTC PASS,32,ARGL,ARGUL,ECoR,08:29:00,08:30:00,215,PSA,PALASA,ECoR,CTC,CUTTACK JN.,ECoR
58417,PURI-GNPR PA,12,ARGL,ARGUL,ECoR,09:26:00,09:27:00,49,PURI,PURI,ECoR,GNPR,GUNUPUR,ECoR
58302,KRPU-SBP PAS,38,ATS,ATTABIRA,ECoR,16:30:00,16:32:00,469,KRPU,KORAPUT JN.,ECoR,SBP,SAMBALPUR JN.,ECoR
18302,RGDA-SBP EXP,18,ATS,ATTABIRA,ECoR,19:33:00,19:35:00,296,RGDA,RAYAGADA JN.,ECoR,SBP,SAMBALPUR JN.,ECoR
18301,SBP-RGDA EXP,3,ATS,ATTABIRA,ECoR,06:32:00,06:34:00,24,SBP,SAMBALPUR JN.,ECoR,RGDA,RAYAGADA JN.,ECoR
58301,SBP-KRPU PAS,4,ATS,ATTABIRA,ECoR,07:46:00,07:48:00,24,SBP,SAMBALPUR JN.,ECoR,KRPU,KORAPUT JN.,ECoR
58412,BAM-BBS PASS,11,BALU,BALUGAN,ECoR,16:05:00,16:06:00,75,BAM,BERHAMPUR,ECoR,BBS,BHUBANESWAR,ECoR
58434,BAM-CTC  FAS,5,BALU,BALUGAN,ECoR,08:32:00,08:33:00,75,BAM,BERHAMPUR,ECoR,CTC,CUTTACK JN.,ECoR
78504,BAM-BBS PASS,12,BALU,BALUGAN,ECoR,07:05:00,07:10:00,75,BAM,BERHAMPUR,ECoR,BBS,BHUBANESWAR,ECoR
18447,BBS-JDB HIRA,7,BALU,BALUGAN,ECoR,21:10:00,21:12:00,89,BBS,BHUBANESWAR,ECoR,JDB,JAGADALPUR,ECoR
58411,BBS-BAM PASS,17,BALU,BALUGAN,ECoR,12:00:00,12:05:00,89,BBS,BHUBANESWAR,ECoR,BAM,BERHAMPUR,ECoR
58419,BBS-PSA PASS,17,BALU,BALUGAN,ECoR,21:15:00,21:20:00,89,BBS,BHUBANESWAR,ECoR,PSA,PALASA,ECoR
78503,BBS-BAM PASS,17,BALU,BALUGAN,ECoR,19:22:00,19:23:00,89,BBS,BHUBANESWAR,ECoR,BAM,BERHAMPUR,ECoR
58433,CTC-BAM FAST,14,BALU,BALUGAN,ECoR,20:07:00,20:08:00,116,CTC,CUTTACK JN.,ECoR,BAM,BERHAMPUR,ECoR
58533,CTC-PSA PASS,24,BALU,BALUGAN,ECoR,19:15:00,19:20:00,116,CTC,CUTTACK JN.,ECoR,PSA,PALASA,ECoR
58418,GNPR-PURI PA,36,BALU,BALUGAN,ECoR,13:30:00,13:35:00,265,GNPR,GUNUPUR,ECoR,PURI,PURI,ECoR
18448,JDB-BBS HIRA,35,BALU,BALUGAN,ECoR,06:02:00,06:04:00,694,JDB,JAGADALPUR,ECoR,BBS,BHUBANESWAR,ECoR
58420,PSA-BBS PASS,20,BALU,BALUGAN,ECoR,08:27:00,08:32:00,149,PSA,PALASA,ECoR,BBS,BHUBANESWAR,ECoR
58534,PSA-CTC PASS,20,BALU,BALUGAN,ECoR,07:05:00,07:10:00,149,PSA,PALASA,ECoR,CTC,CUTTACK JN.,ECoR
58417,PURI-GNPR PA,24,BALU,BALUGAN,ECoR,10:55:00,11:00:00,114,PURI,PURI,ECoR,GNPR,GUNUPUR,ECoR
58412,BAM-BBS PASS,1,BAM,BERHAMPUR,ECoR,14:45:00,14:45:00,0,BAM,BERHAMPUR,ECoR,BBS,BHUBANESWAR,ECoR
58434,BAM-CTC  FAS,1,BAM,BERHAMPUR,ECoR,07:30:00,07:30:00,0,BAM,BERHAMPUR,ECoR,CTC,CUTTACK JN.,ECoR
78504,BAM-BBS PASS,1,BAM,BERHAMPUR,ECoR,00:00:00,05:45:00,0,BAM,BERHAMPUR,ECoR,BBS,BHUBANESWAR,ECoR
78505,BAM-PSA PASS,1,BAM,BERHAMPUR,ECoR,00:00:00,22:05:00,0,BAM,BERHAMPUR,ECoR,PSA,PALASA,ECoR
