Train No,Train Name,SEQ,Station Code,Station Name,Station Zone,Arrival time,Departure Time,Distance,Source Station,Source Station Name,Source Zone,Destination Station,Destination Station Name,Destination Zone
70102,KAWR-MAO-PER,2,AT,ASNOTI,KR,06:08:00,06:09:00,7,KAWR,KAWR,KR,PERN,PERNEM,KR
70104,KAWR-MAO-PER,2,AT,ASNOTI,KR,14:34:00,14:35:00,7,KAWR,KAWR,KR,PERN,PERNEM,KR
70101,PERN - MAO-,11,AT,ASNOTI,KR,20:10:00,20:11:00,107,PERN,PERNEM,KR,KAWR,KAWR,KR
70103,PERN-MAO-KAW,11,AT,ASNOTI,KR,12:31:00,12:32:00,107,PERN,PERNEM,KR,KAWR,KAWR,KR
70102,KAWR-MAO-PER,1,KAWR,KAWR,KR,06:00:00,06:00:00,0,KAWR,KAWR,KR,PERN,PERNEM,KR
70104,KAWR-MAO-PER,1,KAWR,KAWR,KR,14:25:00,14:25:00,0,KAWR,KAWR,KR,PERN,PERNEM,KR
70101,PERN - MAO-,12,KAWR,KAWR,KR,20:25:00,20:25:00,115,PERN,PERNEM,KR,KAWR,KAWR,KR
70103,PERN-MAO-KAW,12,KAWR,KAWR,KR,12:50:00,12:50:00,115,PERN,PERNEM,KR,KAWR,KAWR,KR
70102,KAWR-MAO-PER,10,KRMI,KARMALI,KR,07:42:00,07:43:00,91,KAWR,KAWR,KR,PERN,PERNEM,KR
70104,KAWR-MAO-PER,10,KRMI,KARMALI,KR,16:13:00,16:14:00,91,KAWR,KAWR,KR,PERN,PERNEM,KR
70101,PERN - MAO-,3,KRMI,KARMALI,KR,18:07:00,18:08:00,28,PERN,PERNEM,KR,KAWR,KAWR,KR
70103,PERN-MAO-KAW,3,KRMI,KARMALI,KR,10:00:00,10:01:00,28,PERN,PERNEM,KR,KAWR,KAWR,KR
70102,KAWR-MAO-PER,6,MAO,MADGOAN JN.,SWR,07:04:00,07:06:00,57,KAWR,KAWR,KR,PERN,PERNEM,KR
70104,KAWR-MAO-PER,6,MAO,MADGOAN JN.,SWR,15:32:00,15:34:00,57,KAWR,KAWR,KR,PERN,PERNEM,KR
70101,PERN - MAO-,7,MAO,MADGOAN JN.,SWR,19:08:00,19:10:00,56,PERN,PERNEM,KR,KAWR,KAWR,KR
70103,PERN-MAO-KAW,7,MAO,MADGOAN JN.,SWR,11:25:00,11:27:00,56,PERN,PERNEM,KR,KAWR,KAWR,KR
70102,KAWR-MAO-PER,12,PERN,PERNEM,KR,08:15:00,08:15:00,119,KAWR,KAWR,KR,PERN,PERNEM,KR
70104,KAWR-MAO-PER,12,PERN,PERNEM,KR,17:10:00,17:10:00,119,KAWR,KAWR,KR,PERN,PERNEM,KR
70101,PERN - MAO-,1,PERN,PERNEM,KR,17:35:00,17:35:00,0,PERN,PERNEM,KR,KAWR,KAWR,KR
70103,PERN-MAO-KAW,1,PERN,PERNEM,KR,09:30:00,09:30:00,0,PERN,PERNEM,KR,KAWR,KAWR,KR
