Train No,Train Name,SEQ,Station Code,Station Name,Station Zone,Arrival time,Departure Time,Distance,Source Station,Source Station Name,Source Zone,Destination Station,Destination Station Name,Destination Zone
59824,BIX-GWL PASS,2,AAH,ITEHAR,NCR,10:06:00,10:08:00,10,BIX,BHIND,NCR,GWL,GWALIOR JN,NCR
59826,BIX-GWL PASS,2,AAH,ITEHAR,NCR,19:03:00,19:05:00,10,BIX,BHIND,NCR,GWL,GWALIOR JN,NCR
59823,GWL-BIX PASS,13,AAH,ITEHAR,NCR,08:22:00,08:24:00,76,GWL,GWALIOR JN,NCR,BIX,BHIND,NCR
59825,GWL-BIX PASS,13,AAH,ITEHAR,NCR,16:28:00,16:30:00,76,GWL,GWALIOR JN,NCR,BIX,BHIND,NCR
64153,CNB-ETW MEMU,7,AAP,AMBIAPUR,NCR,07:40:00,07:41:00,53,CNB,KANPUR CENTRAL JN.,NCR,ETW,ETAWAH,NCR
64159,CNB-PHD MEMU,7,AAP,AMBIAPUR,NCR,19:09:00,19:10:00,53,CNB,KANPUR CENTRAL JN.,NCR,PHD,PHAPHUND,NCR
64587,CNB-TDL MEMU,8,AAP,AMBIAPUR,NCR,15:09:00,15:10:00,53,CNB,KANPUR CENTRAL JN.,NCR,TDL,TUNDLA JN,NCR
64589,CNB-PHD MEMU,8,AAP,AMBIAPUR,NCR,20:15:00,20:16:00,48,CNB,KANPUR CENTRAL JN.,NCR,PHD,PHAPHUND,NCR
64156,ETW-CNB MEMU,10,AAP,AMBIAPUR,NCR,17:53:00,17:54:00,86,ETW,ETAWAH,NCR,CNB,KANPUR CENTRAL JN.,NCR
64162,PHD-CNB MEMU,5,AAP,AMBIAPUR,NCR,08:45:00,08:46:00,30,PHD,PHAPHUND,NCR,CNB,KANPUR CENTRAL JN.,NCR
64590,PHD-CNB MEMU,5,AAP,AMBIAPUR,NCR,06:37:00,06:38:00,30,PHD,PHAPHUND,NCR,CNB,KANPUR CENTRAL JN.,NCR
64588,TDL-CNB MEMU,22,AAP,AMBIAPUR,NCR,10:56:00,10:57:00,172,TDL,TUNDLA JN,NCR,CNB,KANPUR CENTRAL JN.,NCR
52171,GWO-SOE PASS,6,ABE,AMBIKESHWAR,NCR,08:21:00,08:23:00,33,GWO,GWALIOR (NG),NCR,SOE,SHEOPUR KALAN,NCR
52173,GWO-SBL PASS,6,ABE,AMBIKESHWAR,NCR,17:20:00,17:22:00,33,GWO,GWALIOR (NG),NCR,SBL,SABALGARH,NCR
52174,SBL-GWO-PASS,10,ABE,AMBIKESHWAR,NCR,09:11:00,09:13:00,59,SBL,SABALGARH,NCR,GWO,GWALIOR (NG),NCR
52172,SOE-GWO PASS,23,ABE,AMBIKESHWAR,NCR,15:01:00,15:03:00,152,SOE,SHEOPUR KALAN,NCR,GWO,GWALIOR (NG),NCR
51816,AGC-JHS PASS,18,AEH,ANANTPAITH,NCR,17:58:00,18:00:00,139,AGC,AGRA CANTT,NCR,JHS,JHANSI JN,NCR
51832,AGC-JHS PASS,18,AEH,ANANTPAITH,NCR,09:29:00,09:31:00,139,AGC,AGRA CANTT,NCR,JHS,JHANSI JN,NCR
51815,JHS-AGC PASS,8,AEH,ANANTPAITH,NCR,08:45:00,08:47:00,64,JHS,JHANSI JN,NCR,AGC,AGRA CANTT,NCR
51831,JHS-AGC,8,AEH,ANANTPAITH,NCR,17:16:00,17:18:00,64,JHS,JHANSI JN,NCR,AGC,AGRA CANTT,NCR
64160,AGC-ETW MEMU,3,AGA,AGRA CITY,NCR,16:43:00,16:44:00,5,AGC,AGRA CANTT,NCR,ETW,ETAWAH,NCR
64955,AGC-TDL MEMU,3,AGA,AGRA CITY,NCR,08:07:00,08:08:00,5,AGC,AGRA CANTT,NCR,TDL,TUNDLA JN,NCR
64157,ETW-AGC MEMU,14,AGA,AGRA CITY,NCR,08:41:00,08:42:00,109,ETW,ETAWAH,NCR,AGC,AGRA CANTT,NCR
64956,TDL-AGC MEMU,6,AGA,AGRA CITY,NCR,14:17:00,14:18:00,22,TDL,TUNDLA JN,NCR,AGC,AGRA CANTT,NCR
51816,AGC-JHS PASS,1,AGC,AGRA CANTT,NCR,14:45:00,14:45:00,0,AGC,AGRA CANTT,NCR,JHS,JHANSI JN,NCR
51832,AGC-JHS PASS,1,AGC,AGRA CANTT,NCR,06:20:00,06:20:00,0,AGC,AGRA CANTT,NCR,JHS,JHANSI JN,NCR
51882,AGC-GWL PASS,1,AGC,AGRA CANTT,NCR,07:35:00,07:35:00,0,AGC,AGRA CANTT,NCR,GWL,GWALIOR JN,NCR
64160,AGC-ETW MEMU,1,AGC,AGRA CANTT,NCR,16:20:00,16:20:00,0,AGC,AGRA CANTT,NCR,ETW,ETAWAH,NCR
64955,AGC-TDL MEMU,1,AGC,AGRA CANTT,NCR,07:45:00,07:45:00,0,AGC,AGRA CANTT,NCR,TDL,TUNDLA JN,NCR
71909,AGC-ETW-MNQ,1,AGC,AGRA CANTT,NCR,00:00:00,17:10:00,0,AGC,AGRA CANTT,NCR,ETW,ETAWAH,NCR
