Train No,Train Name,SEQ,Station Code,Station Name,Station Zone,Arrival time,Departure Time,Distance,Source Station,Source Station Name,Source Zone,Destination Station,Destination Station Name,Destination Zone
55182,THE-CI  PASS,11,AGTR,AGAUTHAR HAL,NFR,06:02:00,06:03:00,31,CI,CHHAPRA KACHEHRI,NER,THE,THAWE JN.,NER
55184,CI-THE PASSE,11,AGTR,AGAUTHAR HAL,NFR,15:13:00,15:14:00,31,CI,CHHAPRA KACHEHRI,NER,THE,THAWE JN.,NER
55181,THE-CI-PASSE,17,AGTR,AGAUTHAR HAL,NFR,11:25:00,11:26:00,75,THE,THAWE JN.,NER,CI,CHHAPRA KACHEHRI,NER
55183,CI-MHC PASSE,17,AGTR,AGAUTHAR HAL,NFR,20:38:00,20:39:00,75,THE,THAWE JN.,NER,CI,CHHAPRA KACHEHRI,NER
55019,CPR-GKP PASS,19,AHLR,AHALYAPUR F,NER,14:10:00,14:11:00,123,CPR,CHHAPRA JN.,NER,GKP,GORAKHPUR JN.,NER
55012,GKP-SV PASSE,9,AHLR,AHALYAPUR F,NER,20:00:00,20:01:00,55,GKP,GORAKHPUR JN.,NER,SV,SIWAN JN.,NER
55020,GKP-CPR PASS,9,AHLR,AHALYAPUR F,NER,09:53:00,09:55:00,55,GKP,GORAKHPUR JN.,NER,CPR,CHHAPRA JN.,NER
55011,SV-GKP PASSE,10,AHLR,AHALYAPUR F,NER,07:29:00,07:30:00,63,SV,SIWAN JN.,NER,GKP,GORAKHPUR JN.,NER
55126,ALY-BSB PASS,13,AHM,AHIMANPUR,NER,08:30:00,08:32:00,70,ALY,ALLAHABAD CITY,NER,MUV,MANDUADIH,NER
55128,ALY - MUV PA,13,AHM,AHIMANPUR,NER,14:06:00,14:08:00,70,ALY,ALLAHABAD CITY,NER,MUV,MANDUADIH,NER
55130,ALY- MUV PAS,13,AHM,AHIMANPUR,NER,19:57:00,19:59:00,70,ALY,ALLAHABAD CITY,NER,MUV,MANDUADIH,NER
75106,ALY-MAU-DMU-,13,AHM,AHIMANPUR,NER,07:30:00,07:31:00,70,ALY,ALLAHABAD CITY,NER,MAU,MAU JN.,NER
75105,MAU-ALY-DMU-,25,AHM,AHIMANPUR,NER,17:53:00,17:54:00,143,MAU,MAU JN.,NER,ALY,ALLAHABAD CITY,NER
55125,MUV - ALY  P,10,AHM,AHIMANPUR,NER,07:26:00,07:28:00,47,MUV,MANDUADIH,NER,ALY,ALLAHABAD CITY,NER
55127,BSB- ALY  PA,10,AHM,AHIMANPUR,NER,13:33:00,13:35:00,47,MUV,MANDUADIH,NER,ALY,ALLAHABAD CITY,NER
55129,BSB-ALY PASS,10,AHM,AHIMANPUR,NER,18:51:00,18:53:00,47,MUV,MANDUADIH,NER,ALY,ALLAHABAD CITY,NER
75107,MUV-ALY-DMU,10,AHM,AHIMANPUR,NER,17:53:00,17:54:00,47,MUV,MANDUADIH,NER,ALY,ALLAHABAD CITY,NER
55078,BNY-GKP PASS,7,AHU,AHIRAULI (HA,NER,16:14:00,16:15:00,34,BNY,BARHNI,NER,GKP,GORAKHPUR JN.,NER
75004,BNY-GKP-DMU,7,AHU,AHIRAULI (HA,NER,14:02:00,14:03:00,34,BNY,BARHNI,NER,GKP,GORAKHPUR JN.,NER
55032,DAL-JEA PASS,41,AHU,AHIRAULI (HA,NER,02:32:00,02:33:00,259,DAL,DALIGANJ JN,NER,JEA,NAKAHA JUNGLE,NER
75002,GD-BNY-GKP-D,21,AHU,AHIRAULI (HA,NER,06:18:00,06:19:00,142,GD,GONDA JN.,NER,GKP,GORAKHPUR JN.,NER
55077,GKP-BNY PASS,16,AHU,AHIRAULI (HA,NER,13:10:00,13:11:00,78,GKP,GORAKHPUR JN.,NER,BNY,BARHNI,NER
75003,GKP-BNY-DMU,16,AHU,AHIRAULI (HA,NER,11:43:00,11:44:00,78,GKP,GORAKHPUR JN.,NER,BNY,BARHNI,NER
75005,GKP-BNY-DMU,16,AHU,AHIRAULI (HA,NER,19:52:00,19:53:00,78,GKP,GORAKHPUR JN.,NER,GD,GONDA JN.,NER
55031,JEA-LJN  PAS,15,AHU,AHIRAULI (HA,NER,09:46:00,09:47:00,72,JEA,NAKAHA JUNGLE,NER,LJN,LUCKNOW JN.,NER
55049,JEA-DAL PASS,15,AHU,AHIRAULI (HA,NER,00:46:00,00:47:00,72,JEA,NAKAHA JUNGLE,NER,DAL,DALIGANJ JN,NER
55050,LJN-JEA  PAS,44,AHU,AHIRAULI (HA,NER,15:21:00,15:22:00,267,LJN,LUCKNOW JN.,NER,JEA,NAKAHA JUNGLE,NER
55326,KSJ-LJN  PAS,48,AJ,AJGAIN,NR,23:19:00,23:20:00,279,KSJ,KASGANJ JN.,NER,LJN,LUCKNOW JN.,NER
55325,LJN-KSJ  PAS,8,AJ,AJGAIN,NR,05:35:00,05:36:00,40,LJN,LUCKNOW JN.,NER,KSJ,KASGANJ JN.,NER
64253,LJN-KAP MEMU,8,AJ,AJGAIN,NR,16:07:00,16:08:00,40,LJN,LUCKNOW JN.,NER,KAP,KALIANPUR,NER
64255,LJN-KAP MEMU,8,AJ,AJGAIN,NR,19:22:00,19:23:00,40,LJN,LUCKNOW JN.,NER,KAP,KALIANPUR,NER
55126,ALY-BSB PASS,12,ALMW,ALMAW (HALT),NER,08:25:00,08:26:00,67,ALY,ALLAHABAD CITY,NER,MUV,MANDUADIH,NER
55128,ALY - MUV PA,12,ALMW,ALMAW (HALT),NER,14:00:00,14:01:00,67,ALY,ALLAHABAD CITY,NER,MUV,MANDUADIH,NER
55130,ALY- MUV PAS,12,ALMW,ALMAW (HALT),NER,19:51:00,19:53:00,67,ALY,ALLAHABAD CITY,NER,MUV,MANDUADIH,NER
75106,ALY-MAU-DMU-,12,ALMW,ALMAW (HALT),NER,07:25:00,07:26:00,67,ALY,ALLAHABAD CITY,NER,MAU,MAU JN.,NER
75105,MAU-ALY-DMU-,26,ALMW,ALMAW (HALT),NER,18:22:00,18:23:00,147,MAU,MAU JN.,NER,ALY,ALLAHABAD CITY,NER
55125,MUV - ALY  P,11,ALMW,ALMAW (HALT),NER,07:38:00,07:39:00,51,MUV,MANDUADIH,NER,ALY,ALLAHABAD CITY,NER
55127,BSB- ALY  PA,11,ALMW,ALMAW (HALT),NER,13:41:00,13:42:00,51,MUV,MANDUADIH,NER,ALY,ALLAHABAD CITY,NER
55129,BSB-ALY PASS,11,ALMW,ALMAW (HALT),NER,18:57:00,18:58:00,51,MUV,MANDUADIH,NER,ALY,ALLAHABAD CITY,NER
75107,MUV-ALY-DMU,11,ALMW,ALMAW (HALT),NER,17:58:00,17:59:00,51,MUV,MANDUADIH,NER,ALY,ALLAHABAD CITY,NER
52208,PBE-KSJ PASS,2,ALNP,AKELA HANSPU,NER,13:39:00,13:40:00,5,MLN,MAILANI JN.,NER,PBE,PILIBHIT JN.,NER
52222,MLN-PBE  PAS,2,ALNP,AKELA HANSPU,NER,10:24:00,10:25:00,5,MLN,MAILANI JN.,NER,PBE,PILIBHIT JN.,NER
52224,LMP-PBE PASS,2,ALNP,AKELA HANSPU,NER,06:29:00,06:30:00,5,MLN,MAILANI JN.,NER,PBE,PILIBHIT JN.,NER
52226,MLN-PBE PASS,2,ALNP,AKELA HANSPU,NER,17:59:00,18:00:00,5,MLN,MAILANI JN.,NER,PBE,PILIBHIT JN.,NER
52205,PBE-MLN PASS,12,ALNP,AKELA HANSPU,NER,12:39:00,12:40:00,62,PBE,PILIBHIT JN.,NER,MLN,MAILANI JN.,NER
52207,PBE-MLN  PAS,12,ALNP,AKELA HANSPU,NER,09:20:00,09:21:00,62,PBE,PILIBHIT JN.,NER,MLN,MAILANI JN.,NER
52221,PBE-MLN PASS,12,ALNP,AKELA HANSPU,NER,16:52:00,16:53:00,62,PBE,PILIBHIT JN.,NER,MLN,MAILANI JN.,NER
52223,PBE-MLN PASS,12,ALNP,AKELA HANSPU,NER,19:27:00,19:28:00,62,PBE,PILIBHIT JN.,NER,MLN,MAILANI JN.,NER
55076,GKP-SV PASSA,26,ALS,AMLORI SARSA,NER,00:53:00,00:55:00,156,GKP,GORAKHPUR JN.,NER,SV,SIWAN JN.,NER
75012,GKP-SV-DMU S,26,ALS,AMLORI SARSA,NER,09:28:00,09:30:00,156,GKP,GORAKHPUR JN.,NER,SV,SIWAN JN.,NER
55075,SV-GKP PASSA,3,ALS,AMLORI SARSA,NER,03:44:00,03:46:00,9,SV,SIWAN JN.,NER,GKP,GORAKHPUR JN.,NER
55107,SV-THE PASSE,3,ALS,AMLORI SARSA,NER,06:39:00,06:41:00,9,SV,SIWAN JN.,NER,THE,THAWE JN.,NER
55109,SV-THE PASSE,3,ALS,AMLORI SARSA,NER,09:47:00,09:48:00,9,SV,SIWAN JN.,NER,THE,THAWE JN.,NER
55111,SV-THE PASSE,3,ALS,AMLORI SARSA,NER,15:55:00,15:57:00,9,SV,SIWAN JN.,NER,THE,THAWE JN.,NER
55113,SV-THE PASSE,3,ALS,AMLORI SARSA,NER,19:10:00,19:11:00,9,SV,SIWAN JN.,NER,THE,THAWE JN.,NER
75009,SV-CPJ-DMU S,3,ALS,AMLORI SARSA,NER,11:14:00,11:15:00,9,SV,SIWAN JN.,NER,CPJ,KAPTANGANJ JN.,NER
55108,THE-SV PASSE,3,ALS,AMLORI SARSA,NER,08:21:00,08:23:00,18,THE,THAWE JN.,NER,SV,SIWAN JN.,NER
55110,THE-SV PASSE,3,ALS,AMLORI SARSA,NER,13:54:00,13:56:00,18,THE,THAWE JN.,NER,SV,SIWAN JN.,NER
55112,THE-SV PASSE,3,ALS,AMLORI SARSA,NER,17:43:00,17:44:00,18,THE,THAWE JN.,NER,SV,SIWAN JN.,NER
