Train No,Train Name,SEQ,Station Code,Station Name,Station Zone,Arrival time,Departure Time,Distance,Source Station,Source Station Name,Source Zone,Destination Station,Destination Station Name,Destination Zone
75718,BXT - SGUJ D,26,ABFC,AMBARI FALAK,NFR,10:15:00,10:16:00,167,BXT,BAMANHAT,NFR,SGUJ,SILIGURI JN.,NFR
75722,HDB-SGUJ PAS,9,ABFC,AMBARI FALAK,NFR,08:59:00,09:00:00,48,HDB,HALDIBARI,NFR,SGUJ,SILIGURI JN.,NFR
75717,SGUJ - BXT D,4,ABFC,AMBARI FALAK,NFR,16:59:00,17:00:00,15,SGUJ,SILIGURI JN.,NFR,BXT,BAMANHAT,NFR
75721,SGUJ-HDB PAS,4,ABFC,AMBARI FALAK,NFR,17:59:00,18:00:00,15,SGUJ,SILIGURI JN.,NFR,HDB,HALDIBARI,NFR
55468,BXT - SGUJ P,2,ABW,ABUTARA HALT,NFR,09:31:00,09:32:00,4,BXT,BAMANHAT,NFR,SGUJ,SILIGURI JN.,NFR
75718,BXT - SGUJ D,2,ABW,ABUTARA HALT,NFR,05:10:00,05:11:00,4,BXT,BAMANHAT,NFR,SGUJ,SILIGURI JN.,NFR
55467,SGUJ - BXT P,33,ABW,ABUTARA HALT,NFR,15:04:00,15:05:00,228,SGUJ,SILIGURI JN.,NFR,BXT,BAMANHAT,NFR
75717,SGUJ - BXT D,28,ABW,ABUTARA HALT,NFR,21:43:00,21:44:00,178,SGUJ,SILIGURI JN.,NFR,BXT,BAMANHAT,NFR
55813,DKGN - MZS P,36,ACPR,ARCHIPATHAR,NFR,12:12:00,12:13:00,291,DKGN,DEKARGAON,NFR,MZS,MURKEONG SELEK,NFR
5620,MZS - NLP PA,7,ACPR,ARCHIPATHAR,NFR,09:58:00,09:59:00,52,MZS,MURKEONG SELEK,NFR,NLP,NORTH LAKHIMPUR,NFR
55814,MZS - DKGN P,7,ACPR,ARCHIPATHAR,NFR,15:58:00,15:59:00,52,MZS,MURKEONG SELEK,NFR,DKGN,DEKARGAON,NFR
5619,NLP - MZS PA,14,ACPR,ARCHIPATHAR,NFR,15:57:00,15:58:00,101,NLP,NORTH LAKHIMPUR,NFR,MZS,MURKEONG SELEK,NFR
