Train No,Train Name,SEQ,Station Code,Station Name,Station Zone,Arrival time,Departure Time,Distance,Source Station,Source Station Name,Source Zone,Destination Station,Destination Station Name,Destination Zone
74836,HSR JU PASS,45,AAS,ASARANADA,NWR,14:44:00,14:45:00,439,HSR,HISAR JN,NWR,JU,JODHPUR JN.,NWR
54810,JU-RE PASSEN,5,AAS,ASARANADA,NWR,01:51:00,01:52:00,31,JU,JODHPUR JN.,NWR,RE,REWARI JN.,NWR
74835,JU HSR PASS,5,AAS,ASARANADA,NWR,12:10:00,12:11:00,31,JU,JODHPUR JN.,NWR,HSR,HISAR JN,NWR
54809,RE-JU PASS,60,AAS,ASARANADA,NWR,00:49:00,00:50:00,511,RE,REWARI JN.,NWR,JU,JODHPUR JN.,NWR
54751,RE-SGNR  PAS,44,ABS,ABOHAR,NR,23:56:00,23:57:00,360,RE,REWARI JN.,NWR,SGNR,SHRI GANGANAGAR,NWR
54752,SGNR-RE PASS,5,ABS,ABOHAR,NR,02:13:00,02:15:00,53,SGNR,SHRI GANGANAGAR,NWR,RE,REWARI JN.,NWR
54751,RE-SGNR  PAS,21,ADR,MANDI ADAMPU,NWR,17:30:00,17:32:00,172,RE,REWARI JN.,NWR,SGNR,SHRI GANGANAGAR,NWR
54752,SGNR-RE PASS,28,ADR,MANDI ADAMPU,NWR,07:11:00,07:13:00,241,SGNR,SHRI GANGANAGAR,NWR,RE,REWARI JN.,NWR
59715,FL-RE PASSEN,24,AEL,ATELI,NWR,07:11:00,07:12:00,177,FL,PHULERA JN.,NWR,RE,REWARI JN.,NWR
59717,FL-RE PASSEN,24,AEL,ATELI,NWR,21:06:00,21:07:00,177,FL,PHULERA JN.,NWR,RE,REWARI JN.,NWR
59719,FL-RE SPL PA,24,AEL,ATELI,NWR,15:21:00,15:22:00,177,FL,PHULERA JN.,NWR,RE,REWARI JN.,NWR
59716,RE-FL PASSEN,5,AEL,ATELI,NWR,06:11:00,06:12:00,37,RE,REWARI JN.,NWR,FL,PHULERA JN.,NWR
59718,RE-FL PASSEN,5,AEL,ATELI,NWR,20:21:00,20:22:00,37,RE,REWARI JN.,NWR,FL,PHULERA JN.,NWR
59720,RE-FL SPL PA,5,AEL,ATELI,NWR,09:56:00,09:57:00,37,RE,REWARI JN.,NWR,FL,PHULERA JN.,NWR
59603,AII - UDZ PA,3,AHO,ADARSHNAGAR,NWR,07:33:00,07:34:00,11,MDJN,MADAR JN,NWR,UDZ,UDAIPUR CITY,NWR
59604,UDZ-AII PASS,37,AHO,ADARSHNAGAR,NWR,17:44:00,17:45:00,294,UDZ,UDAIPUR CITY,NWR,MDJN,MADAR JN,NWR
54834,HSR JP PASS,16,AIA,AJARKA,NWR,03:33:00,03:34:00,170,HSR,HISAR JN,NWR,JP,JAIPUR JN.,NWR
59722,HSR-JP PASS.,19,AIA,AJARKA,NWR,17:57:00,17:58:00,170,HSR,HISAR JN,NWR,JP,JAIPUR JN.,NWR
54833,JP HSR PASS,26,AIA,AJARKA,NWR,23:01:00,23:02:00,197,JP,JAIPUR JN.,NWR,HSR,HISAR JN,NWR
59721,JP-HSR PASSE,24,AIA,AJARKA,NWR,09:33:00,09:34:00,197,JP,JAIPUR JN.,NWR,HSR,HISAR JN,NWR
59602,AII MJ PASS,1,AII,AJMER JN.,NWR,18:20:00,18:20:00,0,AII,AJMER JN.,NWR,MJ,MARWAR JN.,NWR
59607,AJMER - PUSH,1,AII,AJMER JN.,NWR,09:50:00,09:50:00,0,AII,AJMER JN.,NWR,PUHT,PUSHKAR TERMINUS,NWR
9721,JP UDZ SF SP,4,AII,AJMER JN.,NWR,08:20:00,08:25:00,134,JP,JAIPUR JN.,NWR,UDZ,UDAIPUR CITY,NWR
12992,JP UDZ SF EX,4,AII,AJMER JN.,NWR,16:05:00,16:10:00,134,JP,JAIPUR JN.,NWR,UDZ,UDAIPUR CITY,NWR
59603,AII - UDZ PA,2,AII,AJMER JN.,NWR,07:15:00,07:25:00,6,MDJN,MADAR JN,NWR,UDZ,UDAIPUR CITY,NWR
59601,MJ AII PASS,19,AII,AJMER JN.,NWR,09:00:00,09:00:00,139,MJ,MARWAR JN.,NWR,AII,AJMER JN.,NWR
59608,PUSHKER - AJ,5,AII,AJMER JN.,NWR,17:20:00,17:20:00,31,PUHT,PUSHKAR TERMINUS,NWR,AII,AJMER JN.,NWR
9722,UDZ JP SF SP,9,AII,AJMER JN.,NWR,20:00:00,20:05:00,294,UDZ,UDAIPUR CITY,NWR,JP,JAIPUR JN.,NWR
12991,UDZ JP SF EX,12,AII,AJMER JN.,NWR,11:25:00,11:30:00,300,UDZ,UDAIPUR CITY,NWR,JP,JAIPUR JN.,NWR
