Train No,Train Name,SEQ,Station Code,Station Name,Station Zone,Arrival time,Departure Time,Distance,Source Station,Source Station Name,Source Zone,Destination Station,Destination Station Name,Destination Zone
57552,PASS,5,ABX,AMBARI,SCR,15:52:00,15:53:00,37,ADB,ADILABAD,SCR,PAU,PURNA  JN.,SCR
57554,ADB-PRLI-PAS,5,ABX,AMBARI,SCR,04:04:00,04:05:00,37,ADB,ADILABAD,SCR,PRLI,PARLI VAIJNATH,SCR
57551,PASS,26,ABX,AMBARI,SCR,22:04:00,22:05:00,186,PAU,PURNA  JN.,SCR,ADB,ADILABAD,SCR
57553,PRLI-ADB PAS,37,ABX,AMBARI,SCR,11:29:00,11:30:00,278,PRLI,PARLI VAIJNATH,SCR,ADB,ADILABAD,SCR
17621,AWB-RU EXP,19,AD,ADONI,SCR,12:59:00,13:00:00,787,AWB,AURANGABAD,SCR,RU,RENIGUNTA JN.,SCR
17622,RU-AWB EXPRE,10,AD,ADONI,SCR,03:48:00,03:50:00,361,RU,RENIGUNTA JN.,SCR,AWB,AURANGABAD,SCR
12732,SC-TPTY EXP,4,AD,ADONI,SCR,01:38:00,01:40:00,350,SC,SECUNDERABAD JN.,SCR,TPTY,TIRUPATI,SCR
12731,TPTY-SC EXP,13,AD,ADONI,SCR,00:28:00,00:30:00,439,TPTY,TIRUPATI,SCR,SC,SECUNDERABAD JN.,SCR
17406,ADB-TPTY KRI,1,ADB,ADILABAD,SCR,20:45:00,20:45:00,0,ADB,ADILABAD,SCR,TPTY,TIRUPATI,SCR
17409,ADB-NED EXP,1,ADB,ADILABAD,SCR,08:00:00,08:00:00,0,ADB,ADILABAD,SCR,NED,NANDED,SCR
57552,PASS,1,ADB,ADILABAD,SCR,15:15:00,15:15:00,0,ADB,ADILABAD,SCR,PAU,PURNA  JN.,SCR
57554,ADB-PRLI-PAS,1,ADB,ADILABAD,SCR,03:30:00,03:30:00,0,ADB,ADILABAD,SCR,PRLI,PARLI VAIJNATH,SCR
17410,NED-ADB EXP,9,ADB,ADILABAD,SCR,19:00:00,19:00:00,184,NED,NANDED,SCR,ADB,ADILABAD,SCR
57551,PASS,30,ADB,ADILABAD,SCR,23:50:00,23:50:00,223,PAU,PURNA  JN.,SCR,ADB,ADILABAD,SCR
57553,PRLI-ADB PAS,41,ADB,ADILABAD,SCR,12:55:00,12:55:00,316,PRLI,PARLI VAIJNATH,SCR,ADB,ADILABAD,SCR
17405,TPTY-ADB KRI,61,ADB,ADILABAD,SCR,06:15:00,06:15:00,1154,TPTY,TIRUPATI,SCR,ADB,ADILABAD,SCR
7062,VLNK-BZA,11,AJJ,ARAKKONAM JN,SR,00:20:00,00:25:00,359,BZA,VIJAYWADA JN.,SCR,COA,KAKINADA PORT,SCR
57326,KCG PASS,54,AJK,AJAKOLLU HAL,SCR,17:10:00,17:11:00,457,GNT,GUNTUR JN.,SCR,KCG,KACHEGUDA,SCR
57426,GTL-KCG-PASS,25,AJK,AJAKOLLU HAL,SCR,10:08:00,10:09:00,191,GTL,GUNTAKAL JN.,SCR,KCG,KACHEGUDA,SCR
57305,KCG-GNT PASS,31,AJK,AJAKOLLU HAL,SCR,17:44:00,17:45:00,164,KCG,KACHEGUDA,SCR,GNT,GUNTUR JN.,SCR
57325,GNT PASS,28,AJK,AJAKOLLU HAL,SCR,09:05:00,09:06:00,164,KCG,KACHEGUDA,SCR,GNT,GUNTUR JN.,SCR
57425,PASSENGER,26,AJK,AJAKOLLU HAL,SCR,13:30:00,13:31:00,164,KCG,KACHEGUDA,SCR,GTL,GUNTAKAL JN.,SCR
57436,SC PASS,11,AJK,AJAKOLLU HAL,SCR,08:24:00,08:25:00,71,KRNT,KURNOOL TOWN,SCR,KCG,KACHEGUDA,SCR
77271,RAIL CAR,3,AKAH,ARTALAKATTA,SCR,09:47:00,09:48:00,11,CCT,KAKINADA TOWN,SCR,KPLH,KOTIPALLI,SCR
77272,RAIL CAR 2,10,AKAH,ARTALAKATTA,SCR,13:08:00,13:09:00,33,KPLH,KOTIPALLI,SCR,CCT,KAKINADA TOWN,SCR
17406,ADB-TPTY KRI,13,AKE,AKANAPET,SCR,03:28:00,03:29:00,328,ADB,ADILABAD,SCR,TPTY,TIRUPATI,SCR
57474,BDHN-MBNR  P,14,AKE,AKANAPET,SCR,07:23:00,07:24:00,104,BDHN,BODHAN,SCR,MBNR,MAHBUBNAGAR,SCR
57502,BDHN-MZL PAS,14,AKE,AKANAPET,SCR,11:10:00,11:11:00,104,BDHN,BODHAN,SCR,MZL,MIRZAPALI,SCR
57563,HYB-PBN PASS,23,AKE,AKANAPET,SCR,01:15:00,01:16:00,92,HYB,HYDERABAD DECCAN,SCR,PBN,PARBHANI JN.,SCR
57473,KCG-BDHN PAS,28,AKE,AKANAPET,SCR,19:23:00,19:24:00,86,KCG,KACHEGUDA,SCR,BDHN,BODHAN,SCR
57601,KCG-NZB PASS,14,AKE,AKANAPET,SCR,08:09:00,08:10:00,86,KCG,KACHEGUDA,SCR,NZB,NIZAMABAD,SCR
57688,KCG-NZB,9,AKE,AKANAPET,SCR,20:29:00,20:30:00,86,KCG,KACHEGUDA,SCR,NZB,NIZAMABAD,SCR
57690,KCG-NZB PASS,10,AKE,AKANAPET,SCR,11:54:00,11:55:00,86,KCG,KACHEGUDA,SCR,NZB,NIZAMABAD,SCR
57593,NED PASS,12,AKE,AKANAPET,SCR,16:19:00,16:20:00,54,MED,MEDCHAL,SCR,NED,NANDED,SCR
57503,MZL-BDHN PAS,3,AKE,AKANAPET,SCR,15:41:00,15:42:00,9,MZL,MIRZAPALI,SCR,BDHN,BODHAN,SCR
57564,NED-HYB PASS,15,AKE,AKANAPET,SCR,03:44:00,03:45:00,189,NED,NANDED,SCR,HYB,HYDERABAD DECCAN,SCR
57594,MED PASS,25,AKE,AKANAPET,SCR,10:18:00,10:19:00,189,NED,NANDED,SCR,MED,MEDCHAL,SCR
57602,NZB-KCG PASS,10,AKE,AKANAPET,SCR,20:20:00,20:21:00,78,NZB,NIZAMABAD,SCR,KCG,KACHEGUDA,SCR
57687,NZB-KCG PASS,5,AKE,AKANAPET,SCR,16:29:00,16:30:00,78,NZB,NIZAMABAD,SCR,KCG,KACHEGUDA,SCR
57689,NZB-KCG PASS,4,AKE,AKANAPET,SCR,06:29:00,06:30:00,78,NZB,NIZAMABAD,SCR,KCG,KACHEGUDA,SCR
17405,TPTY-ADB KRI,49,AKE,AKANAPET,SCR,22:38:00,22:39:00,825,TPTY,TIRUPATI,SCR,ADB,ADILABAD,SCR
67255,PUSHPULL,4,AKU,ANGALAKUDURU,SCR,09:55:00,09:56:00,21,GNT,GUNTUR JN.,SCR,TEL,TENALI JN.,SCR
77222,PASS,4,AKU,ANGALAKUDURU,SCR,07:48:00,07:49:00,21,GNT,GUNTUR JN.,SCR,RAL,REPALLE,SCR
77224,PASS,4,AKU,ANGALAKUDURU,SCR,11:29:00,11:30:00,21,GNT,GUNTUR JN.,SCR,RAL,REPALLE,SCR
77245,TEL PASS,4,AKU,ANGALAKUDURU,SCR,21:34:00,21:35:00,21,GNT,GUNTUR JN.,SCR,TEL,TENALI JN.,SCR
77250,PASS,4,AKU,ANGALAKUDURU,SCR,14:24:00,14:25:00,21,GNT,GUNTUR JN.,SCR,TEL,TENALI JN.,SCR
77285,GNT-TEL,4,AKU,ANGALAKUDURU,SCR,17:25:00,17:26:00,21,GNT,GUNTUR JN.,SCR,TEL,TENALI JN.,SCR
