Train No,Train Name,SEQ,Station Code,Station Name,Station Zone,Arrival time,Departure Time,Distance,Source Station,Source Station Name,Source Zone,Destination Station,Destination Station Name,Destination Zone
58702,ABKP - SDL P,21,AAL,AMLAI,SECR,13:06:00,13:08:00,187,ABKP,AMBIKAPUR,SECR,SDL,SHAHDOL,SECR
68750,ABKP - SDL M,21,AAL,AMLAI,SECR,21:11:00,21:13:00,187,ABKP,AMBIKAPUR,SECR,SDL,SHAHDOL,SECR
58222,CHD - CHRM P,9,AAL,AMLAI,SECR,16:20:00,16:22:00,114,CHD,CHANDIA ROAD,SECR,CHRM,CHIRMIRI,SECR
58221,CHRM - CHD P,12,AAL,AMLAI,SECR,11:25:00,11:27:00,99,CHRM,CHIRMIRI,SECR,CHD,CHANDIA ROAD,SECR
58701,SDL - ABKP P,4,AAL,AMLAI,SECR,14:56:00,14:58:00,28,SDL,SHAHDOL,SECR,ABKP,AMBIKAPUR,SECR
68749,SDL - ABKP M,5,AAL,AMLAI,SECR,10:03:00,10:05:00,28,SDL,SHAHDOL,SECR,ABKP,AMBIKAPUR,SECR
18242,ABKP-DURG PA,1,ABKP,AMBIKAPUR,SECR,21:30:00,21:30:00,0,ABKP,AMBIKAPUR,SECR,DURG,DURG,SECR
58224,ABKP-APR PAS,1,ABKP,AMBIKAPUR,SECR,12:30:00,12:30:00,0,ABKP,AMBIKAPUR,SECR,APR,ANUPPUR JN.,SECR
58702,ABKP - SDL P,1,ABKP,AMBIKAPUR,SECR,08:25:00,08:25:00,0,ABKP,AMBIKAPUR,SECR,SDL,SHAHDOL,SECR
68750,ABKP - SDL M,1,ABKP,AMBIKAPUR,SECR,16:15:00,16:15:00,0,ABKP,AMBIKAPUR,SECR,SDL,SHAHDOL,SECR
18241,DURG-ABKP EX,32,ABKP,AMBIKAPUR,SECR,08:00:00,08:00:00,463,DURG,DURG,SECR,ABKP,AMBIKAPUR,SECR
58223,MDGR-ABKP PA,15,ABKP,AMBIKAPUR,SECR,12:00:00,12:00:00,143,MDGR,MANENDRAGARH,SECR,ABKP,AMBIKAPUR,SECR
58701,SDL - ABKP P,24,ABKP,AMBIKAPUR,SECR,20:10:00,20:10:00,215,SDL,SHAHDOL,SECR,ABKP,AMBIKAPUR,SECR
68749,SDL - ABKP M,25,ABKP,AMBIKAPUR,SECR,15:10:00,15:10:00,215,SDL,SHAHDOL,SECR,ABKP,AMBIKAPUR,SECR
58206,ITR-R PASSEN,19,AGN,AMGAON,SECR,10:36:00,10:38:00,148,ITR,ITWARI JN.,SECR,R,RAIPUR JN.,SECR
58205,R-ITR PASSEN,24,AGN,AMGAON,SECR,17:08:00,17:10:00,160,R,RAIPUR JN.,SECR,ITR,ITWARI JN.,SECR
6648,BSP-KRRBA PA,3,AKT,AKALTARA,SECR,16:34:00,16:36:00,26,BSP,BILASPUR JN.,SECR,KRBA,KORBA,SECR
68736,BSP-RIG MEMU,5,AKT,AKALTARA,SECR,21:18:00,21:20:00,26,BSP,BILASPUR JN.,SECR,RIG,RAIGARH,SECR
68738,BSP- RIG MEM,4,AKT,AKALTARA,SECR,11:06:00,11:08:00,26,BSP,BILASPUR JN.,SECR,RIG,RAIGARH,SECR
6647,KRBA-BSP PAS,6,AKT,AKALTARA,SECR,06:42:00,06:44:00,62,KRBA,KORBA,SECR,BSP,BILASPUR JN.,SECR
68735,RIG-BSP MEMU,14,AKT,AKALTARA,SECR,09:17:00,09:18:00,108,RIG,RAIGARH,SECR,BSP,BILASPUR JN.,SECR
68737,RIG-BSP MEMU,14,AKT,AKALTARA,SECR,17:11:00,17:13:00,108,RIG,RAIGARH,SECR,BSP,BILASPUR JN.,SECR
58812,ITR- RTK LOC,6,AMDI,AMDI,SECR,20:07:00,20:08:00,30,ITR,ITWARI JN.,SECR,RTK,RAMTEK,SECR
58814,ITR- RTK LOC,6,AMDI,AMDI,SECR,12:52:00,12:53:00,30,ITR,ITWARI JN.,SECR,RTK,RAMTEK,SECR
58809,RTK-ITR LOCA,2,AMDI,AMDI,SECR,07:40:00,07:41:00,7,RTK,RAMTEK,SECR,ITR,ITWARI JN.,SECR
58813,RTK-ITR LOCA,2,AMDI,AMDI,SECR,14:10:00,14:11:00,7,RTK,RAMTEK,SECR,ITR,ITWARI JN.,SECR
18242,ABKP-DURG PA,20,APR,ANUPPUR JN.,SECR,02:30:00,03:00:00,174,ABKP,AMBIKAPUR,SECR,DURG,DURG,SECR
58224,ABKP-APR PAS,20,APR,ANUPPUR JN.,SECR,17:00:00,17:00:00,174,ABKP,AMBIKAPUR,SECR,APR,ANUPPUR JN.,SECR
58702,ABKP - SDL P,20,APR,ANUPPUR JN.,SECR,12:50:00,12:55:00,174,ABKP,AMBIKAPUR,SECR,SDL,SHAHDOL,SECR
68750,ABKP - SDL M,20,APR,ANUPPUR JN.,SECR,20:55:00,21:00:00,174,ABKP,AMBIKAPUR,SECR,SDL,SHAHDOL,SECR
51756,APR-CHRM PAS,1,APR,ANUPPUR JN.,SECR,11:00:00,11:00:00,0,APR,ANUPPUR JN.,SECR,CHRM,CHIRMIRI,SECR
58227,APR - MDGR P,1,APR,ANUPPUR JN.,SECR,17:45:00,17:45:00,0,APR,ANUPPUR JN.,SECR,MDGR,MANENDRAGARH,SECR
58219,BSP - CHRM P,19,APR,ANUPPUR JN.,SECR,03:00:00,03:30:00,150,BSP,BILASPUR JN.,SECR,CHRM,CHIRMIRI,SECR
58222,CHD - CHRM P,10,APR,ANUPPUR JN.,SECR,16:40:00,16:45:00,126,CHD,CHANDIA ROAD,SECR,CHRM,CHIRMIRI,SECR
51755,CHRM-APR PAS,11,APR,ANUPPUR JN.,SECR,09:10:00,09:10:00,86,CHRM,CHIRMIRI,SECR,APR,ANUPPUR JN.,SECR
58220,CHRM - BSP P,11,APR,ANUPPUR JN.,SECR,23:35:00,23:55:00,86,CHRM,CHIRMIRI,SECR,BSP,BILASPUR JN.,SECR
58221,CHRM - CHD P,11,APR,ANUPPUR JN.,SECR,11:10:00,11:15:00,86,CHRM,CHIRMIRI,SECR,CHD,CHANDIA ROAD,SECR
18241,DURG-ABKP EX,13,APR,ANUPPUR JN.,SECR,02:45:00,03:05:00,289,DURG,DURG,SECR,ABKP,AMBIKAPUR,SECR
58701,SDL - ABKP P,5,APR,ANUPPUR JN.,SECR,15:20:00,15:25:00,41,SDL,SHAHDOL,SECR,ABKP,AMBIKAPUR,SECR
68749,SDL - ABKP M,6,APR,ANUPPUR JN.,SECR,10:25:00,10:30:00,41,SDL,SHAHDOL,SECR,ABKP,AMBIKAPUR,SECR
58719,ABHANPUR-RAJ,1,AVP,ABHANPUR JN.,SECR,08:30:00,08:30:00,0,AVP,ABHANPUR JN.,SECR,RIM,RAJIM,SECR
58721,ABHANPUR-RAJ,1,AVP,ABHANPUR JN.,SECR,20:15:00,20:15:00,0,AVP,ABHANPUR JN.,SECR,RIM,RAJIM,SECR
58712,DHAMTARI-KEN,7,AVP,ABHANPUR JN.,SECR,08:13:00,08:23:00,44,DTR,DHAMTARI,SECR,KDRI,KENDRI,SECR
58714,DHAMTARI-KEN,7,AVP,ABHANPUR JN.,SECR,13:58:00,14:08:00,44,DTR,DHAMTARI,SECR,KDRI,KENDRI,SECR
58716,DHAMTARI-KEN,7,AVP,ABHANPUR JN.,SECR,19:53:00,20:03:00,44,DTR,DHAMTARI,SECR,KDRI,KENDRI,SECR
58711,KENDRI-DHAMT,2,AVP,ABHANPUR JN.,SECR,08:02:00,08:15:00,5,KDRI,KENDRI,SECR,DTR,DHAMTARI,SECR
58713,KENDRI-DHAMT,2,AVP,ABHANPUR JN.,SECR,13:45:00,14:00:00,5,KDRI,KENDRI,SECR,DTR,DHAMTARI,SECR
58715,KENDRI-DHAMT,2,AVP,ABHANPUR JN.,SECR,19:40:00,19:55:00,5,KDRI,KENDRI,SECR,DTR,DHAMTARI,SECR
58717,KENDRI-RAJIM,2,AVP,ABHANPUR JN.,SECR,17:20:00,17:25:00,5,KDRI,KENDRI,SECR,RIM,RAJIM,SECR
58718,RAJIM-KENDRI,3,AVP,ABHANPUR JN.,SECR,10:16:00,10:21:00,16,RIM,RAJIM,SECR,KDRI,KENDRI,SECR
58720,RAJIM-ABHANP,3,AVP,ABHANPUR JN.,SECR,07:45:00,07:45:00,16,RIM,RAJIM,SECR,AVP,ABHANPUR JN.,SECR
58722,RAJIM-ABHANP,3,AVP,ABHANPUR JN.,SECR,19:25:00,19:25:00,16,RIM,RAJIM,SECR,AVP,ABHANPUR JN.,SECR
58808,WSA - CAF PA,8,AWH,ALEWAHI,SECR,08:24:00,08:26:00,55,WSA,WADSA,SECR,CAF,CHANDAFORT,SECR
68706,DGG-BSP MEMU,4,BAKL,BAKAL,SECR,12:01:00,12:02:00,20,DGG,DONGAR GARH,SECR,BSP,BILASPUR JN.,SECR
68710,DGG-R MEMU L,4,BAKL,BAKAL,SECR,06:01:00,06:02:00,20,DGG,DONGAR GARH,SECR,R,RAIPUR JN.,SECR
68730,DGG-R MEMU L,4,BAKL,BAKAL,SECR,04:21:00,04:22:00,20,DGG,DONGAR GARH,SECR,R,RAIPUR JN.,SECR
58206,ITR-R PASSEN,28,BAKL,BAKAL,SECR,14:19:00,14:21:00,220,ITR,ITWARI JN.,SECR,R,RAIPUR JN.,SECR
58205,R-ITR PASSEN,15,BAKL,BAKAL,SECR,15:28:00,15:29:00,89,R,RAIPUR JN.,SECR,ITR,ITWARI JN.,SECR
68705,R-DGG MEMU L,15,BAKL,BAKAL,SECR,10:08:00,10:09:00,89,R,RAIPUR JN.,SECR,DGG,DONGAR GARH,SECR
68709,R-DGG MEMU L,15,BAKL,BAKAL,SECR,19:01:00,19:02:00,89,R,RAIPUR JN.,SECR,DGG,DONGAR GARH,SECR
68721,R-DGG MEMU L,15,BAKL,BAKAL,SECR,21:03:00,21:04:00,89,R,RAIPUR JN.,SECR,DGG,DONGAR GARH,SECR
68729,R-DGG MEMU L,15,BAKL,BAKAL,SECR,23:28:00,23:29:00,89,R,RAIPUR JN.,SECR,DGG,DONGAR GARH,SECR
18242,ABKP-DURG PA,15,BATL,BAIHATOLA,SECR,01:17:00,01:18:00,133,ABKP,AMBIKAPUR,SECR,DURG,DURG,SECR
58224,ABKP-APR PAS,15,BATL,BAIHATOLA,SECR,15:45:00,15:47:00,133,ABKP,AMBIKAPUR,SECR,APR,ANUPPUR JN.,SECR
58702,ABKP - SDL P,15,BATL,BAIHATOLA,SECR,11:46:00,11:48:00,133,ABKP,AMBIKAPUR,SECR,SDL,SHAHDOL,SECR
68750,ABKP - SDL M,15,BATL,BAIHATOLA,SECR,19:21:00,19:22:00,133,ABKP,AMBIKAPUR,SECR,SDL,SHAHDOL,SECR
51756,APR-CHRM PAS,6,BATL,BAIHATOLA,SECR,11:50:00,11:52:00,41,APR,ANUPPUR JN.,SECR,CHRM,CHIRMIRI,SECR
58227,APR - MDGR P,6,BATL,BAIHATOLA,SECR,18:40:00,18:42:00,41,APR,ANUPPUR JN.,SECR,MDGR,MANENDRAGARH,SECR
58219,BSP - CHRM P,24,BATL,BAIHATOLA,SECR,04:23:00,04:25:00,192,BSP,BILASPUR JN.,SECR,CHRM,CHIRMIRI,SECR
58222,CHD - CHRM P,15,BATL,BAIHATOLA,SECR,17:32:00,17:34:00,168,CHD,CHANDIA ROAD,SECR,CHRM,CHIRMIRI,SECR
51755,CHRM-APR PAS,6,BATL,BAIHATOLA,SECR,08:00:00,08:02:00,45,CHRM,CHIRMIRI,SECR,APR,ANUPPUR JN.,SECR
58220,CHRM - BSP P,6,BATL,BAIHATOLA,SECR,22:46:00,22:47:00,45,CHRM,CHIRMIRI,SECR,BSP,BILASPUR JN.,SECR
58221,CHRM - CHD P,6,BATL,BAIHATOLA,SECR,10:11:00,10:12:00,45,CHRM,CHIRMIRI,SECR,CHD,CHANDIA ROAD,SECR
18241,DURG-ABKP EX,18,BATL,BAIHATOLA,SECR,04:03:00,04:04:00,331,DURG,DURG,SECR,ABKP,AMBIKAPUR,SECR
58701,SDL - ABKP P,10,BATL,BAIHATOLA,SECR,16:19:00,16:21:00,82,SDL,SHAHDOL,SECR,ABKP,AMBIKAPUR,SECR
