Train No,Train Name,SEQ,Station Code,Station Name,Station Zone,Arrival time,Departure Time,Distance,Source Station,Source Station Name,Source Zone,Destination Station,Destination Station Name,Destination Zone
38206,BZN-SRC EMU,9,ABB,ABADA,SER,19:19:00,19:20:00,27,BZN,BAGNAN,SER,SRC,SANTRAGACHI JN.,SER
38310,MCA SHM LOCA,13,ABB,ABADA,SER,07:50:00,07:51:00,41,MCA,MECHEDA,SER,SHM,SHALIMAR,SER
38316,MCA-SRC LOCA,13,ABB,ABADA,SER,14:59:00,15:00:00,41,MCA,MECHEDA,SER,SRC,SANTRAGACHI JN.,SER
38305,SHM MCA LOCA,6,ABB,ABADA,SER,11:04:00,11:05:00,14,SHM,SHALIMAR,SER,MCA,MECHEDA,SER
38101,SRC-ULB,4,ABB,ABADA,SER,05:49:00,05:50:00,9,SRC,SANTRAGACHI JN.,SER,ULB,ULUBARIA,SER
38107,SRC-ULB EMU,4,ABB,ABADA,SER,16:54:00,16:55:00,9,SRC,SANTRAGACHI JN.,SER,ULB,ULUBARIA,SER
38301,SRC - MCA LO,5,ABB,ABADA,SER,06:25:00,06:26:00,9,SRC,SANTRAGACHI JN.,SER,MCA,MECHEDA,SER
38407,SRC PKU LOCA,5,ABB,ABADA,SER,07:59:00,08:00:00,9,SRC,SANTRAGACHI JN.,SER,PKU,PANSKURA,SER
38709,SRC-KGP LOCA,4,ABB,ABADA,SER,11:16:00,11:17:00,9,SRC,SANTRAGACHI JN.,SER,KGP,KHARAGPUR,SER
38102,ULB - SRC EM,6,ABB,ABADA,SER,07:09:00,07:10:00,14,ULB,ULUBARIA,SER,SRC,SANTRAGACHI JN.,SER
38206,BZN-SRC EMU,11,ADL,ANDUL,SER,19:27:00,19:28:00,32,BZN,BAGNAN,SER,SRC,SANTRAGACHI JN.,SER
38310,MCA SHM LOCA,15,ADL,ANDUL,SER,07:59:00,08:00:00,46,MCA,MECHEDA,SER,SHM,SHALIMAR,SER
38316,MCA-SRC LOCA,15,ADL,ANDUL,SER,15:09:00,15:10:00,46,MCA,MECHEDA,SER,SRC,SANTRAGACHI JN.,SER
38305,SHM MCA LOCA,4,ADL,ANDUL,SER,10:57:00,10:58:00,9,SHM,SHALIMAR,SER,MCA,MECHEDA,SER
38101,SRC-ULB,2,ADL,ANDUL,SER,05:42:00,05:43:00,4,SRC,SANTRAGACHI JN.,SER,ULB,ULUBARIA,SER
38107,SRC-ULB EMU,2,ADL,ANDUL,SER,16:47:00,16:48:00,4,SRC,SANTRAGACHI JN.,SER,ULB,ULUBARIA,SER
38301,SRC - MCA LO,3,ADL,ANDUL,SER,06:17:00,06:18:00,4,SRC,SANTRAGACHI JN.,SER,MCA,MECHEDA,SER
38407,SRC PKU LOCA,3,ADL,ANDUL,SER,07:52:00,07:53:00,4,SRC,SANTRAGACHI JN.,SER,PKU,PANSKURA,SER
38709,SRC-KGP LOCA,2,ADL,ANDUL,SER,11:07:00,11:08:00,4,SRC,SANTRAGACHI JN.,SER,KGP,KHARAGPUR,SER
38102,ULB - SRC EM,8,ADL,ANDUL,SER,07:19:00,07:20:00,19,ULB,ULUBARIA,SER,SRC,SANTRAGACHI JN.,SER
22862,SHM-ADRA RAJ,1,ADRA,ADRA,SER,11:55:00,11:55:00,0,ADRA,ADRA,SER,SHM,SHALIMAR,SER
58013,HWH BKSC PAS,1,ADRA,ADRA,SER,06:05:00,06:05:00,0,ADRA,ADRA,SER,BKSC,BOKARO STEEL CITY,SER
58602,ADRA KGP PAS,1,ADRA,ADRA,SER,05:35:00,05:35:00,0,ADRA,ADRA,SER,KGP,KHARAGPUR,SER
68057,ADRA PRR LOC,1,ADRA,ADRA,SER,05:45:00,05:45:00,0,ADRA,ADRA,SER,PRR,PURULIA JN.,SER
68071,ADRA KNF LOC,1,ADRA,ADRA,SER,07:15:00,07:15:00,0,ADRA,ADRA,SER,KNF,KHANODIH,SER
68077,ADRA VAA LOC,1,ADRA,ADRA,SER,13:35:00,13:35:00,0,ADRA,ADRA,SER,VAA,BHAGA JN,SER
68090,ADRA MDN LOC,1,ADRA,ADRA,SER,08:20:00,08:20:00,0,ADRA,ADRA,SER,MDN,MIDNAPORE,SER
68098,ADRA GBA PAS,1,ADRA,ADRA,SER,17:35:00,17:35:00,0,ADRA,ADRA,SER,GBA,GARBETA,SER
58014,BKSC HWH PAS,12,ADRA,ADRA,SER,21:40:00,21:40:00,82,BKSC,BOKARO STEEL CITY,SER,ADRA,ADRA,SER
58163,GBA-RNC PASS,9,ADRA,ADRA,SER,07:30:00,07:40:00,108,GBA,GARBETA,SER,RNC,RANCHI,SER
68097,GBA ADRA LOC,15,ADRA,ADRA,SER,22:05:00,22:05:00,108,GBA,GARBETA,SER,ADRA,ADRA,SER
22875,KGP-PRR EXPR,12,ADRA,ADRA,SER,10:30:00,10:35:00,168,KGP,KHARAGPUR,SER,PRR,PURULIA JN.,SER
58601,KGP ADRA PAS,22,ADRA,ADRA,SER,21:10:00,21:10:00,168,KGP,KHARAGPUR,SER,ADRA,ADRA,SER
68089,MDN ADRA LOC,20,ADRA,ADRA,SER,14:20:00,14:20:00,155,MDN,MIDNAPORE,SER,ADRA,ADRA,SER
22876,PRR-KGP EXPR,3,ADRA,ADRA,SER,12:46:00,12:50:00,39,PRR,PURULIA JN.,SER,KGP,KHARAGPUR,SER
68058,PRR ADRA LOC,7,ADRA,ADRA,SER,08:10:00,08:10:00,39,PRR,PURULIA JN.,SER,ADRA,ADRA,SER
58164,HTE-BOA PASS,15,ADRA,ADRA,SER,19:10:00,19:25:00,161,RNC,RANCHI,SER,GBA,GARBETA,SER
22861,SHM-ADRA RAJ,10,ADRA,ADRA,SER,11:20:00,11:20:00,288,SHM,SHALIMAR,SER,ADRA,ADRA,SER
12883,SRC PURULIA,10,ADRA,ADRA,SER,10:51:00,10:55:00,283,SRC,SANTRAGACHI JN.,SER,PRR,PURULIA JN.,SER
68072,VAA ADRA LOC,9,ADRA,ADRA,SER,19:15:00,19:15:00,40,VAA,BHAGA JN,SER,ADRA,ADRA,SER
68078,VAA ADRA LOC,9,ADRA,ADRA,SER,16:05:00,16:05:00,40,VAA,BHAGA JN,SER,ADRA,ADRA,SER
58104,BBN TATA PAS,17,ADTP,ADITYAPUR,SER,09:09:00,09:10:00,143,BBN,BARBIL,SER,TATA,TATANAGAR JN,SER
