Train No,Train Name,SEQ,Station Code,Station Name,Arrival time,Departure Time,Distance,Source Station,Source Station Name,Destination Station,Destination Station Name
56362,ERS-NIL PASS,27,AAM,ANGADIPURAM,12:04:00,12:05:00,134,ERS,ERNAKULAM. JN,NIL,NILAMBUR ROAD
16350,NIL-SRR EXP,6,AAM,ANGADIPURAM,21:30:00,21:31:00,38,NIL,NILAMBUR ROAD,SRR,SHORANUR JN.
56363,NIL-ERS PASS,7,AAM,ANGADIPURAM,15:39:00,15:40:00,38,NIL,NILAMBUR ROAD,ERS,ERNAKULAM. JN
56610,NIL-PGT PASS,7,AAM,ANGADIPURAM,17:49:00,17:50:00,38,NIL,NILAMBUR ROAD,PGT,PALAKKAD JN
56612,NIL-SRR PASS,7,AAM,ANGADIPURAM,07:39:00,07:40:00,38,NIL,NILAMBUR ROAD,SRR,SHORANUR JN.
56614,NIL-SRR PASS,7,AAM,ANGADIPURAM,09:56:00,09:57:00,38,NIL,NILAMBUR ROAD,SRR,SHORANUR JN.
56616,NIL-SRR PASS,7,AAM,ANGADIPURAM,12:04:00,12:05:00,38,NIL,NILAMBUR ROAD,SRR,SHORANUR JN.
56620,NIL-SRR PASS,7,AAM,ANGADIPURAM,19:59:00,20:00:00,38,NIL,NILAMBUR ROAD,SRR,SHORANUR JN.
56611,PGT-NIL PASS,13,AAM,ANGADIPURAM,07:34:00,07:35:00,70,PGT,PALAKKAD JN,NIL,NILAMBUR ROAD
16349,SRR-NIL EXP,4,AAM,ANGADIPURAM,06:28:00,06:30:00,27,SRR,SHORANUR JN.,NIL,NILAMBUR ROAD
56613,SRR-NIL PASS,6,AAM,ANGADIPURAM,09:59:00,10:00:00,27,SRR,SHORANUR JN.,NIL,NILAMBUR ROAD
56617,SRR-NIL PASS,6,AAM,ANGADIPURAM,15:39:00,15:40:00,27,SRR,SHORANUR JN.,NIL,NILAMBUR ROAD
56619,SRR-NIL PASS,6,AAM,ANGADIPURAM,17:49:00,17:50:00,27,SRR,SHORANUR JN.,NIL,NILAMBUR ROAD
56621,SRR-NIL PASS,6,AAM,ANGADIPURAM,20:04:00,20:05:00,27,SRR,SHORANUR JN.,NIL,NILAMBUR ROAD
56717,CAPE TEN PAS,4,AAY,ARALVAYMOLI,18:53:00,18:54:00,28,CAPE,KANNIYAKUMARI,TEN,TIRUNELVELI JN
56320,CBE-NCJ PASS,44,AAY,ARALVAYMOLI,19:43:00,19:44:00,520,CBE,COIMBATORE  JN.,NCJ,NAGERCOIL JN.
16128,GUV CHENNAI,25,AAY,ARALVAYMOLI,06:14:00,06:15:00,386,GUV,GURUVAYUR,MS,CHENNAI EGMORE
56700,MDU-PUU PASS,12,AAY,ARALVAYMOLI,03:59:00,04:00:00,217,MDU,MADURAI JN,PUU,PUNALUR
16127,MS GURUVAYUR,24,AAY,ARALVAYMOLI,20:45:00,20:46:00,709,MS,CHENNAI EGMORE,GUV,GURUVAYUR
16723,MS-QLN ANANT,23,AAY,ARALVAYMOLI,08:55:00,08:56:00,709,MS,CHENNAI EGMORE,QLN,QUILON
56319,NCJ-CBE PASS,3,AAY,ARALVAYMOLI,07:24:00,07:25:00,12,NCJ,NAGERCOIL JN.,CBE,COIMBATORE  JN.
56701,QLN-MDU PASS,37,AAY,ARALVAYMOLI,23:00:00,23:01:00,192,PUU,PUNALUR,MDU,MADURAI JN
