Train No,Train Name,SEQ,Station Code,Station Name,Station Zone,Arrival time,Departure Time,Distance,Source Station,Source Station Name,Source Zone,Destination Station,Destination Station Name,Destination Zone
56273,ASK-UBL PASS,11,ABGT,ARABAGATTA,SWR,06:44:00,06:45:00,87,ASK,ARSIKERE JN.,SWR,UBL,HUBLI JN.,SWR
6582,BGM-YPR TATK,48,ABGT,ARABAGATTA,SWR,03:18:00,03:19:00,357,BGM,BELGAUM,SWR,YPR,YESVANTPUR JN.,SWR
56515,SBC-UBL PASS,39,ABGT,ARABAGATTA,SWR,13:44:00,13:45:00,252,SBC,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION),SWR,UBL,HUBLI JN.,SWR
56274,UBL-ASK PASS,26,ABGT,ARABAGATTA,SWR,20:14:00,20:15:00,216,UBL,HUBLI JN.,SWR,ASK,ARSIKERE JN.,SWR
56516,UBL-SBC PASS,25,ABGT,ARABAGATTA,SWR,12:49:00,12:50:00,216,UBL,HUBLI JN.,SWR,SBC,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION),SWR
6581,YPR-BGM TATK,38,ABGT,ARABAGATTA,SWR,00:59:00,01:00:00,247,YPR,YESVANTPUR JN.,SWR,BGM,BELGAUM,SWR
56216,MYS-YPR PASS,25,ACCI,ADICHUNCHUNA,SWR,12:54:00,12:55:00,198,MYS,MYSORE JN.,SWR,YPR,YESVANTPUR JN.,SWR
56215,YPR-MYS PASS,10,ACCI,ADICHUNCHUNA,SWR,14:35:00,14:36:00,95,YPR,YESVANTPUR JN.,SWR,MYS,MYSORE JN.,SWR
17308,BGK-MYS BASA,15,AD,ADONI,SCR,01:38:00,01:40:00,532,BGK,BAGALKOT,SWR,MYS,MYSORE JN.,SWR
17307,MYS-BGK BASA,18,AD,ADONI,SCR,00:07:00,00:09:00,461,MYS,MYSORE JN.,SWR,BGK,BAGALKOT,SWR
56224,ASK-SBC PASS,2,ADHL,ADIHALLI,SWR,05:09:00,05:10:00,8,ASK,ARSIKERE JN.,SWR,SBC,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION),SWR
6582,BGM-YPR TATK,59,ADHL,ADIHALLI,SWR,05:09:00,05:10:00,453,BGM,BELGAUM,SWR,YPR,YESVANTPUR JN.,SWR
56223,SBC-ASK PASS,28,ADHL,ADIHALLI,SWR,22:19:00,22:20:00,157,SBC,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION),SWR,ASK,ARSIKERE JN.,SWR
56227,SBC-SMET PAS,28,ADHL,ADIHALLI,SWR,19:59:00,20:00:00,157,SBC,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION),SWR,SMET,SHIMOGA TOWN,SWR
56515,SBC-UBL PASS,28,ADHL,ADIHALLI,SWR,11:15:00,11:16:00,157,SBC,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION),SWR,UBL,HUBLI JN.,SWR
56228,SMET-SBC PAS,14,ADHL,ADIHALLI,SWR,06:44:00,06:45:00,116,SMET,SHIMOGA TOWN,SWR,SBC,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION),SWR
56516,UBL-SBC PASS,36,ADHL,ADIHALLI,SWR,15:39:00,15:40:00,311,UBL,HUBLI JN.,SWR,SBC,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION),SWR
