Train No,Train Name,SEQ,Station Code,Station Name,Station Zone,Arrival time,Departure Time,Distance,Source Station,Source Station Name,Source Zone,Destination Station,Destination Station Name,Destination Zone
51671,ET-KTE FAST,26,ADTL,ADHARTAL,WCR,10:09:00,10:10:00,253,ET,ITARSI,WCR,STA,SATNA,WCR
51673,ET -STA  FAS,26,ADTL,ADHARTAL,WCR,09:22:00,09:24:00,253,ET,ITARSI,WCR,STA,SATNA,WCR
51701,JBP REWA PAS,2,ADTL,ADHARTAL,WCR,07:31:00,07:32:00,8,JBP,JABALPUR,WCR,REWA,REWA,WCR
51702,REWA JBP PAS,25,ADTL,ADHARTAL,WCR,19:47:00,19:49:00,230,REWA,REWA,WCR,JBP,JABALPUR,WCR
51672,KTE-ET FAST,19,ADTL,ADHARTAL,WCR,15:01:00,15:02:00,180,STA,SATNA,WCR,ET,ITARSI,WCR
51674,STA-ET PASSE,15,ADTL,ADHARTAL,WCR,17:38:00,17:40:00,180,STA,SATNA,WCR,ET,ITARSI,WCR
5613,JLWC-KOTA SP,8,ALNI,ALNIYA,WCR,07:31:00,07:32:00,62,JLWC,JHALAWAR CITY,WCR,KOTA,KOTA,WCR
59837,JLWC-KOTA PA,8,ALNI,ALNIYA,WCR,11:18:00,11:20:00,62,JLWC,JHALAWAR CITY,WCR,KOTA,KOTA,WCR
59839,JLWC-KOTA PA,8,ALNI,ALNIYA,WCR,20:06:00,20:07:00,62,JLWC,JHALAWAR CITY,WCR,KOTA,KOTA,WCR
5614,KOTA-JLWC SP,3,ALNI,ALNIYA,WCR,19:39:00,19:40:00,22,KOTA,KOTA,WCR,JLWC,JHALAWAR CITY,WCR
59838,KOTA-JLWC,4,ALNI,ALNIYA,WCR,07:34:00,07:35:00,22,KOTA,KOTA,WCR,JLWC,JHALAWAR CITY,WCR
59840,KOTA-JLWC PA,4,ALNI,ALNIYA,WCR,16:18:00,16:20:00,22,KOTA,KOTA,WCR,JLWC,JHALAWAR CITY,WCR
51601,BINA-KMZ  PA,17,ANA,ASLANA,WCR,11:25:00,11:27:00,139,BINA,BINA,WCR,KMZ,KATNI MURWARA,WCR
51603,BINA-KTE PAS,17,ANA,ASLANA,WCR,16:43:00,16:45:00,139,BINA,BINA,WCR,KTE,KATNI,WCR
51885,BINA-DMO PAS,17,ANA,ASLANA,WCR,21:13:00,21:15:00,139,BINA,BINA,WCR,DMO,DAMOH,WCR
51886,DMO-BINA PAS,2,ANA,ASLANA,WCR,05:55:00,05:56:00,12,DMO,DAMOH,WCR,BINA,BINA,WCR
51602,KMZ-BINA PAS,15,ANA,ASLANA,WCR,17:28:00,17:30:00,122,KMZ,KATNI MURWARA,WCR,BINA,BINA,WCR
51604,KTE-BINA PAS,16,ANA,ASLANA,WCR,20:04:00,20:06:00,124,KTE,KATNI,WCR,BINA,BINA,WCR
51607,BINA-GUNA PA,11,ASKN,ASHOK NAGAR,WCR,07:55:00,07:57:00,74,BINA,BINA,WCR,GUNA,GUNA,WCR
51609,BINA-GUNA PA,11,ASKN,ASHOK NAGAR,WCR,16:47:00,16:49:00,74,BINA,BINA,WCR,GUNA,GUNA,WCR
51612,BINA-KOTA PA,11,ASKN,ASHOK NAGAR,WCR,11:38:00,11:40:00,74,BINA,BINA,WCR,KOTA,KOTA,WCR
51608,GUNA-BINA PA,7,ASKN,ASHOK NAGAR,WCR,10:37:00,10:39:00,44,GUNA,GUNA,WCR,BINA,BINA,WCR
51610,GUNA-BINA PA,7,ASKN,ASHOK NAGAR,WCR,19:47:00,19:49:00,44,GUNA,GUNA,WCR,BINA,BINA,WCR
