Train No,Train Name,SEQ,Station Code,Station Name,Arrival time,Departure Time,Distance,Source Station,Source Station Name,Destination Station,Destination Station Name
12960,BHUJ DADAR E,5,AAR,ADESAR,21:26:00,21:28:00,169,BHUJ,NEW BHUJ,DDR,DADAR
59425,BHUJ - PNU P,18,AAR,ADESAR,10:34:00,10:36:00,169,BHUJ,NEW BHUJ,PNU,PALANPUR JN
12959,DADAR BHUJ E,16,AAR,ADESAR,13:45:00,13:47:00,802,DDR,DADAR,BHUJ,NEW BHUJ
19152,GIMB PNU EXP,8,AAR,ADESAR,08:03:00,08:05:00,111,GIMB,GANDHIDHAM JN.,PNU,PALANPUR JN
19151,GIMB - PNU,10,AAR,ADESAR,18:43:00,18:45:00,188,PNU,PALANPUR JN,GIMB,GANDHIDHAM JN.
59426,PNU - BHUJ P,21,AAR,ADESAR,17:16:00,17:18:00,188,PNU,PALANPUR JN,BHUJ,NEW BHUJ
59547,OKHA PASSENG,4,ABD,AMBLI ROAD,12:27:00,12:29:00,16,ADI,AHMEDABAD,OKHA,OKHA
19015,SAURASHTRA E,46,ABD,AMBLI ROAD,20:32:00,20:34:00,507,BCT,MUMBAI CENTRAL,PBR,PORBANDAR
19215,SAURASHTRA E,46,ABD,AMBLI ROAD,20:30:00,20:32:00,507,BCT,MUMBAI CENTRAL,PBR,PORBANDAR
59049,VALSAD VG  P,57,ABD,AMBLI ROAD,18:58:00,19:00:00,314,BL,VALSAD,VG,VIRAMGAM JN
59548,OKHA ADI PAS,42,ABD,AMBLI ROAD,12:52:00,12:54:00,478,OKHA,OKHA,ADI,AHMEDABAD
19016,SAURASHTRA E,18,ABD,AMBLI ROAD,05:20:00,05:24:00,450,PBR,PORBANDAR,BCT,MUMBAI CENTRAL
59050,VG VALSAD PA,6,ABD,AMBLI ROAD,08:45:00,08:47:00,48,VG,VIRAMGAM JN,BL,VALSAD
59440,AHMADABAD PA,40,ACL,ANCHELI,08:23:00,08:24:00,270,ADI,AHMEDABAD,BCT,MUMBAI CENTRAL
59442,AHMEDABAD PA,51,ACL,ANCHELI,22:36:00,22:37:00,270,ADI,AHMEDABAD,BCT,MUMBAI CENTRAL
59439,AHMADABAD PA,29,ACL,ANCHELI,18:52:00,18:53:00,220,BCT,MUMBAI CENTRAL,ADI,AHMEDABAD
59441,AHMEDABAD PA,25,ACL,ANCHELI,04:49:00,04:50:00,220,BCT,MUMBAI CENTRAL,ADI,AHMEDABAD
69150,BH VIRAR,19,ACL,ANCHELI,17:22:00,17:23:00,100,BH,BHARUCH JN.,VR,VIRAR
59049,VALSAD VG  P,6,ACL,ANCHELI,06:42:00,06:43:00,27,BL,VALSAD,VG,VIRAMGAM JN
69151,BL - ST MEMU,6,ACL,ANCHELI,15:58:00,16:00:00,27,BL,VALSAD,ST,SURAT
69139,BVI ST MEMU,27,ACL,ANCHELI,11:45:00,11:46:00,191,BVI,BORIVLI,ST,SURAT
69141,SJN-ST MEMU,14,ACL,ANCHELI,08:29:00,08:30:00,75,SJN,SANJAN,ST,SURAT
59038,SURAT VR PAS,8,ACL,ANCHELI,05:13:00,05:14:00,41,ST,SURAT,VR,VIRAR
59048,SURAT BL PAS,8,ACL,ANCHELI,19:14:00,19:15:00,41,ST,SURAT,BL,VALSAD
69140,SURAT VR,8,ACL,ANCHELI,19:14:00,19:15:00,41,ST,SURAT,VR,VIRAR
69142,ST-SJN MEMU,9,ACL,ANCHELI,18:17:00,18:18:00,41,ST,SURAT,SJN,SANJAN
69152,ST  - BL MEM,8,ACL,ANCHELI,10:13:00,10:14:00,41,ST,SURAT,BL,VALSAD
59050,VG VALSAD PA,57,ACL,ANCHELI,19:50:00,19:51:00,335,VG,VIRAMGAM JN,BL,VALSAD
59037,VIRAR ST PAS,23,ACL,ANCHELI,22:16:00,22:18:00,165,VR,VIRAR,ST,SURAT
69149,VIRAR BH,23,ACL,ANCHELI,08:02:00,08:05:00,165,VR,VIRAR,BH,BHARUCH JN.
59440,AHMADABAD PA,13,ADD,ADAS ROAD,01:34:00,01:35:00,74,ADI,AHMEDABAD,BCT,MUMBAI CENTRAL
59442,AHMEDABAD PA,15,ADD,ADAS ROAD,14:55:00,14:56:00,74,ADI,AHMEDABAD,BCT,MUMBAI CENTRAL
69102,ADI - BRC ME,15,ADD,ADAS ROAD,18:57:00,18:58:00,74,ADI,AHMEDABAD,BRC,VADODARA JN.
