Source Station,Source Zone
AADR,NR
ABH,CR
ABKP,SECR
ABR,NWR
ABS,NR
ACOI,NCR
ADB,SCR
ADH,WR
ADI,WR
ADIJ,WR
ADRA,SER
AF,NCR
AGC,NCR
AGTL,NR
AH,NCR
AII,NWR
AIT,NCR
AJJ,SR
AJM,WR
AJNI,CR
AK,CR
AKV,WR
ALD,NCR
ALJN,NCR
ALLP,SR
ALY,NER
AMBG,ER
AMH,NER
AMI,CR
AMLA,CR
AMZ,SER
ANGL,ECoR
ANND,WR
ANVT,NR
APDJ,NR
APH,NWR
APR,SECR
ARA,ECR
ARJ,NER
ASK,SWR
ASN,ER
ASO,CR
ASR,NR
ATT,NR
AVD,SR
AVP,SECR
AWB,SCR
AWR,NWR
AY,NR
AZ,ER
BAHL,NR
BAKA,ER
BAM,ECoR
BAND,SWR
BARA,WCR
BARI,NCR
BAY,SWR
BBDB,ER
BBK,NR
BBM,ER
BBN,SER
BBS,ECoR
BBU,ECR
BC,NER
BCK,SER
BCT,WR
BCY,NFR
BD,CR
BDB,NCR
BDC,ER
BDCR,SCR
BDGM,NR
BDHN,SCR
BDME,ER
BDTS,WR
BE,NR
BEAS,NR
BEPR,CR
BG,NFR
BGB,ER
BGK,SWR
BGKT,NWR
BGM,SWR
BGNA,ER
BGP,ER
BGTN,NR
BGY,SER
BH,WR
BHBR,NER
BHC,ECoR
BHJ,NER
BHL,NWR
BHNG,NFR
BHP,ER
BHRB,NR
BHUJ,WR
BHW,ECR
BIDR,SCR
BINA,WCR
BIR,WCR
BIRL,ECR
BIX,NCR
BJE,ECR
BJM,SR
BJP,SWR
BJPL,NR
BJU,ECR
BKI,NWR
BKN,NWR
BKP,ECR
BKSC,SER
BL,WR
BLD,WR
BLDA,SER
BLDI,WR
BLGR,ECoR
BLGT,NFR
BLM,NR
BLN,ER
BLP,NR
BLS,SER
BLY,ER
BME,NWR
BMO,SCR
BMPR,SER
BNC,SWR
BNDP,NFR
BNJ,ER
BNVD,WR
BNW,NWR
BNY,NER
BNZ,NER
BOE,NFR
BOR,WR
BP,ER
BPB,NR
BPL,WCR
BPO,SER
BPQ,SER
BQA,ER
BRC,WR
BRK,NER
BRKA,ECR
BRMH,ER
BRML,NR
BRMP,SER
BRMT,CR
BRP,ER
BRPA,ER
BRWD,ECR
BSB,NFR
BSC,NR
BSL,CR
BSP,SECR
BSR,WR
BST,NER
